# {"t_start": 1617583574.723982, "env_id": "Pusher3DOF_IfO-v1"} 
r,l,t
-87630.087538,50,1.324349
-125816.996798,50,2.16857
-97802.235604,50,3.032369
-124277.478535,50,3.909353
-140480.027588,50,4.334183
-87096.641623,50,4.752154
-125672.089123,50,5.122339
-119351.937801,50,5.50137
-100340.611391,50,5.871414
-119870.235004,50,6.236991
-127970.623302,50,6.606283
-119030.119156,50,6.971752
-89523.397714,50,7.338985
-94928.131621,50,7.702674
-113397.000471,50,8.067243
-110964.925259,50,8.436091
-127094.888912,50,8.838856
-133447.069937,50,9.207613
-90798.029152,50,9.579929
-84607.619524,50,9.947458
-106127.370663,50,10.316337
-92796.99408,50,10.684699
-119595.285819,50,11.054893
-132605.472552,50,11.423367
-109200.101191,50,11.794498
-123393.905679,50,12.164285
-140558.84642,50,12.536711
-118581.896374,50,12.908814
-109794.727171,50,13.280321
-112352.341933,50,13.652119
-119330.379381,50,14.025195
-120550.940781,50,14.396439
-87827.500158,50,14.77339
-123431.955083,50,15.149929
-121333.021523,50,15.517011
-69460.504238,50,15.886162
-120614.785601,50,16.260863
-104350.862628,50,16.648126
-108704.680149,50,17.023286
-128390.18041,50,17.436471
-113321.7939,50,17.799
-141320.587029,50,18.177046
-129176.404772,50,18.565462
-132169.17979,50,18.937236
-104358.329252,50,19.308979
-128513.871159,50,19.68354
-83303.630825,50,20.055198
-121721.970776,50,20.427496
-110357.335546,50,20.799487
-105385.246628,50,21.163543
-81197.078583,50,21.534736
-128439.458405,50,21.903999
-127436.315249,50,22.2767
-117669.913303,50,22.649087
-113675.862142,50,23.026286
-120637.075953,50,23.3966
-92189.931172,50,23.770749
-124494.892307,50,24.142316
-80547.894785,50,24.51508
-112934.940929,50,24.885521
-118991.323299,50,25.258169
-107089.157829,50,25.627236
-91139.328112,50,26.00052
-87636.37669,50,26.373377
-100948.544875,50,26.75005
-117082.662513,50,27.122477
-102408.099344,50,27.494166
-97470.933132,50,27.87107
-105906.609764,50,28.243414
-93755.590443,50,28.619348
-117820.950127,50,28.991373
-94353.306986,50,29.36523
-113508.583265,50,29.740361
-85299.070562,50,30.113617
-108818.125835,50,30.494884
-106342.766258,50,30.874204
-129695.226646,50,31.251181
-98798.677929,50,31.628973
-127811.675333,50,32.014095
-119585.42482,50,32.390331
-129603.623667,50,38.732822
-116239.186409,50,39.658471
-125915.511684,50,40.783142
